id,etapa,tipo,nome,componente
ef-comp-er-oc-imanencia-e-transcendencia,EF,oc,Imanência e transcendência,ef-comp-er
ef-comp-er-oc-indumentarias-religiosas,EF,oc,Indumentárias religiosas,ef-comp-er
ef-comp-er-oc-lideranca-e-direitos-humanos,EF,oc,Liderança e direitos humanos,ef-comp-er
ef-comp-er-oc-liderancas-religiosas,EF,oc,Lideranças religiosas,ef-comp-er
ef-comp-er-oc-memorias-e-simbolos,EF,oc,Memórias e símbolos,ef-comp-er
ef-comp-er-oc-misticas-e-espiritualidades,EF,oc,Místicas e espiritualidades,ef-comp-er
ef-comp-er-oc-mitos-nas-tradicoes-religiosas,EF,oc,Mitos nas tradições religiosas,ef-comp-er
ef-comp-er-oc-narrativas-religiosas,EF,oc,Narrativas religiosas,ef-comp-er
ef-comp-er-oc-o-eu-a-familia-e-o-ambiente-de-convivencia,EF,oc,"O eu, a família e o ambiente de convivência",ef-comp-er
ef-comp-er-oc-o-eu-o-outro-e-o-nos,EF,oc,"O eu, o outro e o nós",ef-comp-er
ef-comp-er-oc-praticas-celebrativas,EF,oc,Práticas celebrativas,ef-comp-er
ef-comp-er-oc-principios-e-valores-eticos,EF,oc,Princípios e valores éticos,ef-comp-er
ef-comp-er-oc-principios-eticos-e-valores-religiosos,EF,oc,Princípios éticos e valores religiosos,ef-comp-er
ef-comp-er-oc-representacoes-religiosas-na-arte,EF,oc,Representações religiosas na arte,ef-comp-er
ef-comp-er-oc-ritos-religiosos,EF,oc,Ritos religiosos,ef-comp-er
ef-comp-er-oc-sentimentos-lembrancas-memorias-e-saberes,EF,oc,"Sentimentos, lembranças, memórias e saberes",ef-comp-er
ef-comp-er-oc-simbolos-religiosos,EF,oc,Símbolos religiosos,ef-comp-er
ef-comp-er-oc-simbolos-ritos-e-mitos-religiosos,EF,oc,"Símbolos, ritos e mitos religiosos",ef-comp-er
ef-comp-er-oc-tradicao-escrita-registro-dos-ensinamentos-sagrados,EF,oc,Tradição escrita: registro dos ensinamentos sagrados,ef-comp-er
ef-comp-er-oc-tradicoes-religiosas-midias-e-tecnologias,EF,oc,"Tradições religiosas, mídias e tecnologias",ef-comp-er
ef-comp-er-oc-vida-e-morte,EF,oc,Vida e morte,ef-comp-er
ef-comp-er-ut-crencas-religiosas-e-filosofias-de-vida,EF,ut,Crenças religiosas e filosofias de vida,ef-comp-er
ef-comp-er-ut-identidades-e-alteridades,EF,ut,Identidades e alteridades,ef-comp-er
ef-comp-er-ut-manifestacoes-religiosas,EF,ut,Manifestações religiosas,ef-comp-er
ef-comp-ge-oc-a-cidade-e-o-campo-aproximacoes-e-diferencas,EF,oc,A cidade e o campo: aproximações e diferenças,ef-comp-ge
ef-comp-ge-oc-a-divisao-do-mundo-em-ocidente-e-oriente,EF,oc,A divisão do mundo em Ocidente e Oriente,ef-comp-ge
ef-comp-ge-oc-a-hegemonia-europeia-na-economia-na-politica-e-na-cultura,EF,oc,"A hegemonia europeia na economia, na política e na cultura",ef-comp-ge
ef-comp-ge-oc-as-manifestacoes-culturais-na-formacao-populacional,EF,oc,As manifestações culturais na formação populacional,ef-comp-ge
ef-comp-ge-oc-atividades-humanas-e-dinamica-climatica,EF,oc,Atividades humanas e dinâmica climática,ef-comp-ge
ef-comp-ge-oc-biodiversidade-brasileira,EF,oc,Biodiversidade brasileira,ef-comp-ge
ef-comp-ge-oc-biodiversidade-e-ciclo-hidrologico,EF,oc,Biodiversidade e ciclo hidrológico,ef-comp-ge
ef-comp-ge-oc-cadeias-industriais-e-inovacao-no-uso-dos-recursos-naturais-e-materias-primas,EF,oc,Cadeias industriais e inovação no uso dos recursos naturais e matérias-primas,ef-comp-ge
ef-comp-ge-oc-caracteristicas-da-populacao-brasileira,EF,oc,Características da população brasileira,ef-comp-ge
ef-comp-ge-oc-cartografia-anamorfose-croquis-e-mapas-tematicos-da-america-e-africa,EF,oc,"Cartografia: anamorfose, croquis e mapas temáticos da América e África",ef-comp-ge
ef-comp-ge-oc-ciclos-naturais-e-a-vida-cotidiana,EF,oc,Ciclos naturais e a vida cotidiana,ef-comp-ge
ef-comp-ge-oc-condicoes-de-vida-nos-lugares-de-vivencia,EF,oc,Condições de vida nos lugares de vivência,ef-comp-ge
ef-comp-ge-oc-conservacao-e-degradacao-da-natureza,EF,oc,Conservação e degradação da natureza,ef-comp-ge
ef-comp-ge-oc-convivencia-e-interacoes-entre-pessoas-na-comunidade,EF,oc,Convivência e interações entre pessoas na comunidade,ef-comp-ge
